,fighter_id,name,natinality_name,wins,losses,total_matches,win_pct,avg_gained_point,avg_skipped_point,takedown_score,takedown_success_count,total_takedown_count,takedown_success_rate,takedown_per_fight_total,average_takedown_points_per_fight,single_leg_takedown_count,single_leg_takedown_success_rate,double_leg_takedown_success_rate,double_leg_takedown_count,defense_score,action_skipped_points_per_fight,total_successful_defenses_per_fight,action_escape_rate,takedown_parter_escape_rate,pin_to_parter_escape_rate,roll_escape_rate,protection_zone_escape_rate,parterre_escape_rate,total_action_counts_per_fight,offense_score,protection_zone_counts_per_fight,action_points_per_fight,action_counts_per_fight,action_success_rate,protection_zone_success_rate,protection_zone_points_per_fight,roll_success_rate,roll_count_per_fight,roll_points_per_fight,parterre_success_rate,parterre_points_per_fight,successful_parterre_attempts_per_match,total_parterre_per_match,durability_score,defense_score_durability,offense_score_durability,takedown_score_durability,passivity_per_fight,overall_score,Completed
0,26887,Aliakbar Aliasghar FAZLIKHALILI,iri,9,4,13,0.69,6.538461538461538,4.384615384615385,,4.0,7.0,0.57,14.0,8.0,2.0,0.4,1.0,1.0,,,,0.33,0.5,,,,1.0,,1.0,0.0,26.0,14.0,0.82,,0.0,1.0,8.0,16.0,1.0,16.0,8.0,8.0,0.8,0.26,,1.0,,,0
1,20333,Zofia POLOWCZYK,pol,8,6,14,0.57,6.785714285714286,6.428571428571429,,,,,10.0,0.0,,,,,,,,0.67,0.8,,,,,,1.0,2.0,16.0,10.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,8.0,4.0,4.0,0.0,,,,,,0
2,22254,Albert KHOKONOV,rus,7,1,8,0.88,7.875,3.75,,,,,9.0,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,,1.0,0.0,17.0,9.0,1.0,,0.0,1.0,6.0,12.0,1.0,14.0,7.0,7.0,0.58,0.0,,,,,0
3,26020,Sara NATAMI,jpn,10,1,11,0.91,8.727272727272727,2.0,0.97,3.0,5.0,0.6,9.0,6.0,1.0,0.33,1.0,1.0,0.96,,0.0,0.82,1.0,,,0.5,,0.0,1.0,0.0,18.0,9.0,0.82,,0.0,1.0,3.0,6.0,1.0,6.0,3.0,3.0,0.0,,,,0.0,0.7324999999999999,0
4,29676,Nazik MIRLAN KYZY,kgz,2,11,13,0.15,2.461538461538461,6.307692307692308,,3.0,4.0,0.75,8.0,8.0,2.0,1.0,0.5,1.0,,,,0.13,0.14,,,,0.0,,1.0,0.0,17.0,8.0,0.89,,0.0,1.0,4.0,8.0,1.0,8.0,4.0,4.0,0.6,0.43,,0.62,,,0
5,23196,Ken MATSUI,jpn,10,4,14,0.71,7.285714285714285,5.0,,,1.0,0.0,8.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,1.0,0.0,16.0,8.0,0.89,,0.0,1.0,3.0,6.0,1.0,8.0,4.0,4.0,0.33,,,,,,0
6,20795,Sarah Ann HILDEBRANDT,usa,50,10,60,0.83,8.216666666666665,2.116666666666667,0.9,1.0,1.0,1.0,8.0,2.0,1.0,1.0,,,0.96,,0.94,0.82,0.89,,1.0,,1.0,0.99,0.99,0.0,14.0,8.0,0.89,,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.64,0.89,1.0,0.87,0.0,0.8724999999999999,0
7,22096,Simran SIMRAN,ind,13,7,20,0.65,6.0,3.45,,2.0,5.0,0.4,8.0,6.0,1.0,0.25,,,,,,0.5,0.6,,,,0.5,,0.99,0.0,18.0,8.0,0.73,,0.0,,0.0,0.0,1.0,4.0,2.0,2.0,0.0,,,,,,0
8,28759,Mraz DZHAFARIAN,ukr,4,6,10,0.4,4.3,5.4,,3.0,3.0,1.0,6.0,8.0,1.0,1.0,,,,,,0.67,1.0,,,,,,0.99,0.0,14.0,6.0,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.57,0.68,,0.99,,,0
9,24012,Daniyar KAISANOV,kaz,26,14,40,0.65,5.85,3.6,,2.0,4.0,0.5,8.0,4.0,2.0,0.5,,,,,,0.83,0.83,,,,,,0.99,0.0,15.0,8.0,0.8,,0.0,1.0,3.0,6.0,1.0,10.0,5.0,5.0,0.58,0.87,,0.87,,,0
