"coalesce","takedown_success_rate","tkd_per_match","tkd_per_match-2","successful_count","successful_count-2","successful_count-3","single_leg_success_rate","single_leg_success_rate-2"
20101,0.36,3.34,2.26,39,14,10,0.24,0.59
20102,1.0,2.0,2.0,1,NULL,NULL,NULL,NULL
20106,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20109,0.33,1.5,1.0,1,NULL,1,NULL,0.5
20111,0.5,3.0,2.0,1,NULL,NULL,NULL,NULL
20112,0.2,0.5,0.5,1,NULL,NULL,NULL,NULL
20114,0.36,3.14,2.18,21,7,2,0.25,0.4
20120,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20123,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20133,0.14,3.0,2.0,1,NULL,1,NULL,0.5
20141,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
20145,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20150,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20151,0.5,4.0,2.0,1,1,NULL,1.0,NULL
20153,0.17,1.0,2.0,1,1,NULL,0.2,NULL
20154,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20169,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
20179,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20189,0.17,1.0,1.0,1,NULL,NULL,NULL,NULL
20200,0.5,4.0,6.0,2,NULL,NULL,NULL,NULL
20201,0.55,3.12,1.49,22,NULL,NULL,NULL,NULL
20203,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20205,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
20206,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
20208,0.67,2.92,2.08,8,NULL,NULL,NULL,NULL
20212,0.5,4.0,2.0,1,NULL,NULL,NULL,NULL
20214,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20232,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
20242,0.11,1.5,0.33,1,NULL,NULL,NULL,NULL
20257,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
20264,0.0,0.67,0,NULL,NULL,NULL,NULL,NULL
20271,1.0,1.0,0.0,1,NULL,NULL,NULL,NULL
20280,0.86,2.0,2.98,36,NULL,NULL,NULL,NULL
20281,0.5,1.0,2.0,1,NULL,NULL,NULL,NULL
20283,1.0,2.0,8.0,2,NULL,NULL,NULL,NULL
20284,0.67,1.5,3.0,2,NULL,NULL,NULL,NULL
20285,1.0,4.0,2.0,1,NULL,NULL,NULL,NULL
20292,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20296,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20297,0.8,5.0,8.0,4,2,NULL,0.67,NULL
20298,0.5,3.0,4.0,1,NULL,NULL,NULL,NULL
20299,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20302,0.4,3.36,1.92,18,4,3,0.16,0.5
20308,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20310,0.6,7.0,12.0,6,3,3,0.5,0.75
20313,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20318,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20323,0.54,2.68,2.43,29,9,11,0.53,0.48
20324,0.5,7.0,2.0,1,NULL,NULL,NULL,NULL
20325,0.75,5.5,4.0,3,1,NULL,1.0,NULL
20327,0.14,1.0,1.0,1,1,NULL,0.14,NULL
20328,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20330,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20331,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20338,1.0,3.0,4.0,1,NULL,NULL,NULL,NULL
20404,0.52,4.54,2.23,15,9,3,0.47,0.5
20408,1.0,2.0,2.0,1,1,NULL,1.0,NULL
20409,0.4,2.0,2.67,2,1,NULL,0.25,NULL
20413,0.25,3.5,1.0,1,NULL,1,NULL,0.5
20415,0.29,1.5,1.63,6,4,1,0.27,0.2
20429,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20446,0.67,5.0,6.0,2,2,NULL,0.67,NULL
20509,0.33,2.0,4.0,1,NULL,NULL,NULL,NULL
20512,1.0,4.0,1.0,2,NULL,NULL,NULL,NULL
20515,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20528,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20598,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
20629,1.0,1.0,2.0,1,NULL,NULL,NULL,NULL
20683,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20700,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20719,0.0,0,0,NULL,NULL,NULL,NULL,NULL
20723,1.0,2.0,6.0,2,NULL,NULL,NULL,NULL
20739,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
20740,0.41,3.15,3.31,14,3,3,0.3,0.5
20741,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
20742,0.29,4.2,2.0,5,4,NULL,0.27,NULL
20743,0.48,3.95,3.2,56,27,12,0.37,0.8
20744,0.13,4.5,0.5,1,1,NULL,0.17,NULL
20745,1.0,2.0,2.0,1,1,NULL,1.0,NULL
20746,0.12,3.25,2.0,4,2,1,0.07,0.25
20747,0.4,4.5,4.0,4,2,NULL,0.33,NULL
20750,0.2,3.33,1.33,2,2,NULL,0.2,NULL
20754,0.27,3.78,2.67,21,5,3,0.16,0.5
20755,1.0,5.5,5.0,5,NULL,NULL,NULL,NULL
20756,1.0,2.0,2.0,1,1,NULL,1.0,NULL
